$<obj,$ DerivativeCompressCRC,$ DerivativeExtractCRC,$ Compress,$ Extract,$ DerivativeGZIPCRC,$ ZipMeTest,$Base,$ Adaptation,$ CRC,$ ArchiveCheck,$ GZIP,$ Adler32Checksum,$ DerivativeCompressGZIP,$ DerivativeCompressAdler32Checksum,$ Check,$ DerivativeCompressGZIPCRC
37417.8496119,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
38186.9802426,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
37558.2963095,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
40145.3377371,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
37539.046092,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
38561.1856905,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
40704.5330801,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
38682.3821706,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
38701.6323881,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0
37679.4927896,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0
38822.8288683,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0
40266.5342172,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
40285.7844347,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0
40406.9809148,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0
41288.6738157,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0
41429.1205133,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0
41409.8702958,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0
41550.3169935,0,0,1,0,0,0,1,1,0,1,1,1,0,0,0,0
40825.7295602,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0
41847.8691587,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0
41969.0656389,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0
40840.7541203,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0
41984.0901989,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0
40961.9506004,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0
42105.286679,0,0,1,1,0,0,1,1,0,1,0,1,0,0,0,0
43432.0212053,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0
43553.2176854,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0
43568.2422454,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0
43689.4387256,0,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0
44575.3572839,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0
44711.5783241,0,0,1,1,0,0,1,0,0,1,1,1,0,0,0,0
44696.5537641,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0
44832.7748042,0,0,1,1,0,0,1,1,0,1,1,1,0,0,0,0
38327.4269403,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0
38308.1767228,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0
38448.6234204,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0
39330.3163213,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0
39451.5128014,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0
